matern32,SquaredExp,RationalQuad,Matern52,Gamma,Ensemble
-69.2665158010671,-143.516189367214,-44.4149738232195,-47.5152165087187,-38.3996959798252,-109.581955417426
-168.065372276989,-145.725413508217,-57.8184584135007,-73.0960564830861,-98.6357939331631,-216.757074990908
-138.228010036421,-165.506352287063,-115.567675131845,-166.458785658612,-39.197166352986,-128.34037144807
-119.643507330258,-62.6175439922873,-130.874798910259,-206.483528593066,-30.9813333256843,-52.8811058564201
-33.9725459615425,-24.8363261819598,-123.930418693955,-192.109031470004,-48.3083374567639,-177.658410416263
-186.03341265157,-125.761959089329,-102.150954721589,-52.3006031653758,-56.4013604706564,-92.0318202115011
-144.769180287726,-32.6249144406004,-59.1577523206028,-170.590314819962,-74.8995697519324,-52.1914487233702
-150.563949106156,-24.0089616437684,-106.23494928763,-127.540550798274,-211.00785316429,-131.775545057442
-159.676955806084,-24.1431825614899,-113.950485196851,-185.784930959846,-66.2077046632403,-32.8775605444868
-36.8710931182013,-159.446382323029,-111.73600363586,-69.3180429936039,-13.5053289899212,-129.282069078337
-106.092154318921,-100.045684453028,-89.9474412229917,-128.756151067987,-78.0103812990627,-13.3949020078905
-161.828072545356,-47.4104440467684,-67.235407800046,-191.694605982924,-37.4793318161067,-56.8407396939019
-127.241148005397,-131.184206366639,-92.0814740817052,-156.689134300896,-95.448092769364,-44.3695809861503
-178.083723888118,-159.345941587305,-83.8878912996134,-181.348910510896,-154.890397261878,-12.6176815629134
-119.611369177212,-162.956012594839,-111.912204403953,-154.609827540842,-42.4204862285573,-121.836224263111
-126.429051533011,-182.119013490754,-27.7229946679919,-180.504243155179,-117.60104247423,-18.297529183858
-108.163487104495,-217.315945679826,-117.490072079505,-90.1249707160024,-128.608711753404,-152.892273180044
-214.506834029769,-127.154710299849,-67.3194934778718,-139.442523098307,-204.369435151738,-150.319685848715
-48.0915685219721,-105.901944956385,-109.893205910302,-184.041325738331,-72.2912201849567,-146.913658656386
-20.5388648641812,-43.0712427991323,-130.02695504117,-146.75363559856,-107.421814166618,-27.1301701840147
-136.546325589681,-124.149761476398,-129.743799654659,-64.6905174675021,-71.4634200820381,-186.455650042763
-79.9583432353883,-123.777718404419,-41.9690051953738,-128.235239266493,-33.0022567741437,-183.185227132671
-40.6690590295608,-77.8742597801173,-65.5964029534924,-133.42040934774,-37.0005899697058,-117.16302031632
-64.5087374155519,-120.122195660943,-121.775413646925,-71.8347285158402,-97.6258955690362,-146.716805972234
-37.3405045941992,-33.1079830291374,-138.033126149849,-136.791391096673,-183.279894529062,-70.2071188029458
-169.695183349243,-185.94943696916,-121.704912740863,-95.199688533405,-170.193963292945,-58.1648210686462
-123.701062356356,-121.662279882771,-82.7420221713235,-195.292701008289,-101.582802907933,-189.595434040175
-122.0662872422,-200.077023559802,-99.1645793442137,-194.256713091736,-201.321856581557,-152.153294529078
-129.153623735244,-124.091499717702,-104.814482682741,-63.9539634390706,-27.6483967883834,-174.273708501696
-52.8143199156498,-187.053634132537,-42.9748040067316,-57.0949005960065,-195.004661574006,-57.3204253683969
-82.8301678467846,-137.565668212618,-122.367785304402,-100.845806711664,-166.229491871265,-69.3266691655618
-131.212501181066,-88.3772047632023,-112.13583628431,-93.9671138515395,-116.887929927201,-8.01880878518635
-102.619818062607,-168.246905759522,-117.165453041716,-96.9801710684653,-86.6688885767722,-125.88674254888
-33.6739850692468,-51.4092032581133,-91.9002581981595,-52.0197199357617,-19.4491487254091,-134.718681794
