matern32,SquaredExp,RationalQuad,Matern52,Gamma,Ensemble
-47.1862382183622,-22.0232844356876,-35.1651006740594,-5.96361213067681,-16.5002623692759,-19.7522481655465
-24.0932395185982,-18.2010641149559,-14.2257408216399,-24.1116447574951,-42.6538199647087,-40.8739611824013
-39.0869922027097,-50.9052994838829,-15.219239649424,-15.7229376819719,-13.1451878277677,-33.9579125145263
-36.3733598477847,-48.2597970127564,-8.60754304621937,-35.9492857839069,-28.4766117221594,-47.8355778812786
-45.1944995095523,-37.2270164437219,-0.172725949103308,-34.3755355598883,-5.19418808351646,-28.0524628610273
-31.9671129034503,-54.6899284682248,-7.2287998949469,-39.2718394194636,-4.66426414731699,-34.4738853287727
-23.7548571639271,-47.4067869105313,-38.0849301760808,-39.5132420309742,-37.6480386245365,-21.9300924257219
-31.8126473624838,-39.4973583661627,-18.0717650488294,-27.752927007679,-13.6167738591244,-50.1324087524121
-51.6541292090732,-40.5751311749766,-35.9497368982523,-24.6523233109463,-15.4217073207763,-18.1719238368811
-68.0518768475159,-45.114951087724,-32.5863208527294,-41.7936603398901,-8.54285779347601,-3.78978793662303
-27.4301587505975,-31.1177423591958,-15.0925153556721,-44.4038524228632,-21.1406237031357,-7.40960138779986
-34.0150255812382,-42.795962916047,-27.3274997009013,-43.1166034598629,-15.4837973744486,-55.5348531192304
-45.8277793852087,-67.4722273193937,-12.1176878166614,-29.4870899015562,-29.6082120963476,-34.9530436121282
-36.5170292977744,-53.9538871799667,-44.1773482028746,-36.1218740303658,-59.8847613365224,-2.12050817111796
-10.0077906380425,-47.0300375149104,-26.5593337442769,-48.1861582848102,-9.23942410971372,-57.4874763785177
-50.4972532297742,-31.32415806436,-20.3551682391103,-26.1494068189317,-11.0969627902625,-27.0941027664158
-40.534832961716,-30.6884348522209,-5.35240755525179,-69.8649062137573,-35.8247192040308,-25.0049298959277
-26.9059217871107,-53.8547991098559,-30.9731526835604,-0.107494082844985,-8.86133217877192,-11.4619464037087
-34.815070953795,-44.0506690465121,-33.8005535188279,-57.792044771764,-6.20053364145433,-13.5707214949142
-5.85332839192794,-67.8776749197171,-39.4628716105237,-34.1799555845085,-1.6343527327391,-23.8116978714396
-30.302540426541,-43.4722131103505,-4.81367095065626,-35.9218334940221,-1.62359850295751,-47.024502984288
-34.9376782477869,-46.4619270572044,-21.1657391136584,-44.7947864144061,-7.67373037421004,-32.7897375326235
-25.287764624699,-26.9315657053285,-39.1603524119317,-50.8503281290418,-29.5428991690511,-33.0655651775607
-5.64540750728976,-54.5307835635242,-24.0399591076883,-13.3753683066157,-41.9668520137738,-54.5111921024404
-52.1339290293885,-25.9790804302951,-1.7189679554878,-51.7258714871483,-23.9679859302123,-17.2143056050421
