matern32,SquaredExp,RationalQuad,Matern52,Gamma,Ensemble
-12.3677751298,-122.672924872707,-0.914540255889804,-107.45370471628,-31.7222861269045,-133.656388452471
-137.059723454582,-17.1723508668377,-1.03147645738738,-28.3631156294183,-10.1920917835674,-2.26804291123447
-75.1534556780211,-28.2784080250337,-0.671033652751726,-50.7090852103045,-45.0130112604292,-34.4864008763012
-42.8419049972924,-56.9801061262405,-0.00682622541801,-12.0621661380735,-32.0962948583975,-3.64470067672885
-31.7098167837647,-146.378486700226,-0.052775856444984,-27.7801597879589,-153.262827774347,-61.0333630625019
-93.69232219582,-43.2959526721421,-2.62767835268463E-08,-63.1392364419582,-94.3243318325364,-49.7506020708572
-25.0274933172748,-49.7140614199725,-0.70722487452286,-16.5984285926018,-153.498353621464,-142.388069136138
-59.5471818148023,-16.1734931150289,-1.83943126286223E-08,-42.0122040101778,-63.2423084862519,-113.747032542096
-38.4927370169476,-8.09582026797395,-2.12680307809521E-08,-120.505909683963,-11.7219601452082,-3.73962494023865
-117.894442474694,-7.52202947972438,-1.12490425145486,-75.3973997538867,-89.0445298543763,-4.5394207394974
-93.3781370997119,-30.026585744212,-1.9981239884892E-08,-76.8751344634139,-51.0430280881883,-112.18999363055
-64.7295687181446,-53.2899837276812,-0.006171963663359,-23.8642707438501,-140.358306998851,-78.4124188323317
-95.238913253975,-77.9195062688761,-0.11856969521687,-39.6855905752049,-104.182301835993,-28.4087676140726
-62.7765942323208,-35.0434989049803,-1.06214726999424,-18.9826741136538,-58.3388069462945,-57.823090485392
